DAY_OF_MONTH,DAY_OF_WEEK,ORIGIN_WAC,DEST_WAC,DEP_DELAY,DEP_DEL15,ARR_DEL15,DISTANCE
1,4,3,23,-17.00,0.00,0.00,1576.00
1,4,3,23,-6.00,0.00,0.00,1576.00
1,4,3,23,24.00,1.00,1.00,1576.00
1,4,11,23,-11.00,0.00,0.00,196.00
1,4,11,23,-10.00,0.00,0.00,196.00
1,4,11,23,20.00,1.00,0.00,196.00
1,4,12,23,-10.00,0.00,0.00,364.00
1,4,12,23,-10.00,0.00,0.00,364.00
1,4,12,23,-7.00,0.00,0.00,473.00
1,4,13,23,-15.00,0.00,0.00,496.00
1,4,13,23,-14.00,0.00,0.00,496.00
1,4,13,23,-13.00,0.00,0.00,280.00
1,4,13,23,-11.00,0.00,0.00,496.00
1,4,13,23,-9.00,0.00,0.00,280.00
1,4,13,23,-9.00,0.00,0.00,496.00
1,4,13,23,-8.00,0.00,0.00,280.00
1,4,13,23,-8.00,0.00,0.00,280.00
1,4,13,23,-7.00,0.00,0.00,280.00
1,4,13,23,-7.00,0.00,0.00,280.00
1,4,13,23,-7.00,0.00,0.00,496.00
1,4,13,23,-6.00,0.00,0.00,280.00
1,4,13,23,-5.00,0.00,0.00,280.00
1,4,13,23,-5.00,0.00,0.00,280.00
1,4,13,23,-5.00,0.00,0.00,280.00
1,4,13,23,-5.00,0.00,0.00,496.00
1,4,13,23,4.00,0.00,0.00,280.00
1,4,13,23,16.00,1.00,0.00,280.00
1,4,13,23,21.00,1.00,0.00,280.00
1,4,13,23,73.00,1.00,1.00,280.00
1,4,13,23,123.00,1.00,1.00,496.00
1,4,15,23,-12.00,0.00,0.00,237.00
1,4,15,23,-8.00,0.00,0.00,237.00
1,4,15,23,-7.00,0.00,0.00,237.00
1,4,16,23,-13.00,0.00,0.00,335.00
1,4,16,23,-6.00,0.00,0.00,335.00
1,4,16,23,19.00,1.00,1.00,335.00
1,4,21,23,-8.00,0.00,0.00,319.00
1,4,21,23,-7.00,0.00,0.00,80.00
1,4,21,23,-7.00,0.00,0.00,319.00
1,4,21,23,-7.00,0.00,0.00,319.00
1,4,21,23,-6.00,0.00,0.00,319.00
1,4,21,23,-5.00,0.00,0.00,319.00
1,4,21,23,-4.00,0.00,0.00,319.00
1,4,21,23,-2.00,0.00,0.00,319.00
1,4,21,23,-1.00,0.00,0.00,319.00
1,4,21,23,0.00,0.00,1.00,80.00
1,4,21,23,20.00,1.00,1.00,319.00
1,4,21,23,54.00,1.00,1.00,93.00
1,4,22,23,-12.00,0.00,0.00,335.00
1,4,22,23,-11.00,0.00,0.00,335.00
1,4,22,23,-10.00,0.00,0.00,335.00
1,4,22,23,-9.00,0.00,0.00,335.00
1,4,22,23,-8.00,0.00,0.00,279.00
1,4,22,23,-8.00,0.00,0.00,335.00
1,4,22,23,-8.00,0.00,0.00,335.00
1,4,22,23,-8.00,0.00,0.00,340.00
1,4,22,23,-7.00,0.00,0.00,279.00
1,4,22,23,-6.00,0.00,0.00,335.00
1,4,22,23,-5.00,0.00,0.00,335.00
1,4,22,23,-5.00,0.00,0.00,335.00
1,4,22,23,-5.00,0.00,0.00,340.00
1,4,22,23,-1.00,0.00,0.00,340.00
1,4,22,23,-1.00,0.00,0.00,340.00
1,4,22,23,0.00,0.00,0.00,335.00
1,4,22,23,4.00,0.00,0.00,335.00
1,4,22,23,6.00,0.00,0.00,340.00
1,4,22,23,14.00,0.00,0.00,335.00
1,4,22,23,39.00,1.00,1.00,335.00
1,4,23,3,-1.00,0.00,0.00,1576.00
1,4,23,3,3.00,0.00,0.00,1576.00
1,4,23,3,18.00,1.00,0.00,1576.00
1,4,23,11,-12.00,0.00,0.00,196.00
1,4,23,11,-5.00,0.00,0.00,196.00
1,4,23,11,892.00,1.00,1.00,196.00
1,4,23,12,-5.00,0.00,0.00,364.00
1,4,23,12,-4.00,0.00,0.00,473.00
1,4,23,12,9.00,0.00,0.00,364.00
1,4,23,13,-16.00,0.00,0.00,496.00
1,4,23,13,-14.00,0.00,0.00,496.00
1,4,23,13,-12.00,0.00,0.00,280.00
1,4,23,13,-10.00,0.00,0.00,496.00
1,4,23,13,-9.00,0.00,0.00,496.00
1,4,23,13,-8.00,0.00,0.00,280.00
1,4,23,13,-8.00,0.00,0.00,280.00
1,4,23,13,-8.00,0.00,0.00,280.00
1,4,23,13,-8.00,0.00,0.00,280.00
1,4,23,13,-6.00,0.00,0.00,496.00
1,4,23,13,-6.00,0.00,1.00,280.00
1,4,23,13,-5.00,0.00,0.00,496.00
1,4,23,13,-4.00,0.00,0.00,280.00
1,4,23,13,-3.00,0.00,0.00,280.00
1,4,23,13,-3.00,0.00,0.00,280.00
1,4,23,13,-2.00,0.00,0.00,280.00
1,4,23,13,-2.00,0.00,0.00,280.00
1,4,23,13,33.00,1.00,1.00,280.00
1,4,23,13,73.00,1.00,1.00,280.00
1,4,23,13,73.00,1.00,1.00,280.00
1,4,23,13,98.00,1.00,1.00,496.00
1,4,23,15,-14.00,0.00,0.00,237.00
1,4,23,15,-11.00,0.00,0.00,237.00
1,4,23,15,-8.00,0.00,0.00,237.00
1,4,23,16,-8.00,0.00,1.00,335.00
1,4,23,16,-1.00,0.00,0.00,335.00
1,4,23,16,33.00,1.00,1.00,335.00
1,4,23,21,-11.00,0.00,0.00,93.00
1,4,23,21,-9.00,0.00,0.00,319.00
1,4,23,21,-5.00,0.00,0.00,319.00
1,4,23,21,-4.00,0.00,0.00,319.00
1,4,23,21,-2.00,0.00,0.00,319.00
1,4,23,21,-1.00,0.00,0.00,319.00
1,4,23,21,0.00,0.00,0.00,80.00
1,4,23,21,20.00,1.00,1.00,319.00
1,4,23,21,23.00,1.00,0.00,319.00
1,4,23,21,23.00,1.00,1.00,319.00
1,4,23,21,42.00,1.00,1.00,80.00
1,4,23,21,52.00,1.00,1.00,319.00
1,4,23,22,-9.00,0.00,0.00,335.00
1,4,23,22,-9.00,0.00,0.00,335.00
1,4,23,22,-8.00,0.00,0.00,335.00
1,4,23,22,-7.00,0.00,0.00,335.00
1,4,23,22,-6.00,0.00,0.00,279.00
1,4,23,22,-6.00,0.00,0.00,335.00
1,4,23,22,-6.00,0.00,0.00,340.00
1,4,23,22,-5.00,0.00,0.00,279.00
1,4,23,22,-5.00,0.00,0.00,335.00
1,4,23,22,-5.00,0.00,0.00,335.00
1,4,23,22,-5.00,0.00,0.00,335.00
1,4,23,22,-5.00,0.00,0.00,335.00
1,4,23,22,-5.00,0.00,0.00,340.00
1,4,23,22,-5.00,0.00,0.00,340.00
1,4,23,22,-5.00,0.00,0.00,340.00
1,4,23,22,-5.00,0.00,0.00,340.00
1,4,23,22,-4.00,0.00,0.00,335.00
1,4,23,22,-4.00,0.00,0.00,335.00
1,4,23,22,-4.00,0.00,0.00,335.00
1,4,23,22,6.00,0.00,0.00,335.00
1,4,23,23,-7.00,0.00,0.00,268.00
1,4,23,23,-7.00,0.00,0.00,268.00
1,4,23,23,-1.00,0.00,0.00,268.00
1,4,23,23,2.00,0.00,0.00,268.00
1,4,23,23,28.00,1.00,1.00,268.00
1,4,23,23,75.00,1.00,1.00,268.00
1,4,23,33,-12.00,0.00,0.00,873.00
1,4,23,33,-11.00,0.00,0.00,809.00
1,4,23,33,-10.00,0.00,0.00,861.00
1,4,23,33,-10.00,0.00,0.00,882.00
1,4,23,33,-10.00,0.00,0.00,993.00
1,4,23,33,-9.00,0.00,0.00,742.00
1,4,23,33,-9.00,0.00,0.00,742.00
1,4,23,33,-8.00,0.00,0.00,861.00
1,4,23,33,-7.00,0.00,0.00,861.00
1,4,23,33,-7.00,0.00,0.00,966.00
1,4,23,33,-6.00,0.00,0.00,823.00
1,4,23,33,-6.00,0.00,0.00,920.00
1,4,23,33,-6.00,0.00,0.00,980.00
1,4,23,33,-6.00,0.00,0.00,993.00
1,4,23,33,-6.00,0.00,0.00,1013.00
1,4,23,33,-5.00,0.00,0.00,861.00
1,4,23,33,-5.00,0.00,0.00,861.00
1,4,23,33,-5.00,0.00,0.00,992.00
1,4,23,33,-5.00,0.00,0.00,1013.00
1,4,23,33,-4.00,0.00,0.00,834.00
1,4,23,33,-4.00,0.00,0.00,834.00
1,4,23,33,-4.00,0.00,0.00,861.00
1,4,23,33,-4.00,0.00,0.00,912.00
1,4,23,33,-4.00,0.00,0.00,1013.00
1,4,23,33,-3.00,0.00,0.00,742.00
1,4,23,33,-3.00,0.00,0.00,861.00
1,4,23,33,-3.00,0.00,0.00,951.00
1,4,23,33,-3.00,0.00,0.00,951.00
1,4,23,33,-3.00,0.00,0.00,951.00
1,4,23,33,-3.00,0.00,1.00,993.00
1,4,23,33,-2.00,0.00,0.00,861.00
1,4,23,33,-2.00,0.00,0.00,951.00
1,4,23,33,-2.00,0.00,0.00,992.00
1,4,23,33,-2.00,0.00,0.00,1013.00
1,4,23,33,-2.00,0.00,0.00,1013.00
1,4,23,33,-1.00,0.00,0.00,834.00
1,4,23,33,-1.00,0.00,0.00,861.00
1,4,23,33,-1.00,0.00,0.00,861.00
1,4,23,33,-1.00,0.00,0.00,992.00
1,4,23,33,-1.00,0.00,0.00,1013.00
1,4,23,33,-1.00,0.00,0.00,1102.00
1,4,23,33,0.00,0.00,0.00,834.00
1,4,23,33,0.00,0.00,0.00,873.00
1,4,23,33,0.00,0.00,0.00,992.00
1,4,23,33,0.00,0.00,0.00,994.00
1,4,23,33,0.00,0.00,0.00,994.00
1,4,23,33,0.00,0.00,0.00,1013.00
1,4,23,33,1.00,0.00,0.00,1013.00
1,4,23,33,3.00,0.00,0.00,966.00
1,4,23,33,3.00,0.00,0.00,993.00
1,4,23,33,4.00,0.00,0.00,1013.00
1,4,23,33,5.00,0.00,0.00,834.00
1,4,23,33,5.00,0.00,0.00,920.00
1,4,23,33,10.00,0.00,0.00,861.00
1,4,23,33,10.00,0.00,0.00,993.00
1,4,23,33,11.00,0.00,0.00,1013.00
1,4,23,33,13.00,0.00,0.00,861.00
1,4,23,33,13.00,0.00,1.00,992.00
1,4,23,33,15.00,1.00,1.00,963.00
1,4,23,33,19.00,1.00,0.00,957.00
1,4,23,33,21.00,1.00,0.00,861.00
1,4,23,33,25.00,1.00,1.00,992.00
1,4,23,33,29.00,1.00,0.00,1121.00
1,4,23,33,33.00,1.00,1.00,941.00
1,4,23,33,36.00,1.00,1.00,920.00
1,4,23,33,60.00,1.00,1.00,861.00
1,4,23,33,69.00,1.00,1.00,920.00
1,4,23,33,72.00,1.00,1.00,920.00
1,4,23,33,79.00,1.00,1.00,827.00
1,4,23,33,106.00,1.00,1.00,742.00
1,4,23,33,175.00,1.00,1.00,970.00
1,4,23,34,-6.00,0.00,0.00,526.00
1,4,23,34,-6.00,0.00,0.00,620.00
1,4,23,34,-6.00,0.00,0.00,666.00
1,4,23,34,-6.00,0.00,0.00,666.00
1,4,23,34,-6.00,0.00,0.00,692.00
1,4,23,34,-5.00,0.00,0.00,526.00
1,4,23,34,-5.00,0.00,0.00,620.00
1,4,23,34,-5.00,0.00,0.00,666.00
1,4,23,34,-5.00,0.00,0.00,666.00
1,4,23,34,-4.00,0.00,0.00,629.00
1,4,23,34,-4.00,0.00,0.00,692.00
1,4,23,34,-3.00,0.00,0.00,526.00
1,4,23,34,-3.00,0.00,0.00,620.00
1,4,23,34,-3.00,0.00,0.00,666.00
1,4,23,34,-3.00,0.00,0.00,666.00
1,4,23,34,-2.00,0.00,0.00,526.00
1,4,23,34,-2.00,0.00,0.00,629.00
1,4,23,34,0.00,0.00,0.00,666.00
1,4,23,34,0.00,0.00,0.00,666.00
1,4,23,34,0.00,0.00,0.00,666.00
1,4,23,34,2.00,0.00,0.00,666.00
1,4,23,34,2.00,0.00,0.00,692.00
1,4,23,34,3.00,0.00,0.00,526.00
1,4,23,34,3.00,0.00,0.00,666.00
1,4,23,34,5.00,0.00,0.00,526.00
1,4,23,34,7.00,0.00,0.00,666.00
1,4,23,34,17.00,1.00,0.00,526.00
1,4,23,34,20.00,1.00,0.00,666.00
1,4,23,34,32.00,1.00,1.00,666.00
1,4,23,34,58.00,1.00,1.00,666.00
1,4,23,34,93.00,1.00,1.00,666.00
1,4,23,34,290.00,1.00,1.00,666.00
1,4,23,35,-4.00,0.00,0.00,210.00
1,4,23,35,1.00,0.00,0.00,210.00
1,4,23,36,-10.00,0.00,0.00,413.00
1,4,23,36,-10.00,0.00,0.00,481.00
1,4,23,36,-10.00,0.00,0.00,481.00
1,4,23,36,-9.00,0.00,0.00,328.00
1,4,23,36,-8.00,0.00,0.00,337.00
1,4,23,36,-7.00,0.00,0.00,366.00
1,4,23,36,-6.00,0.00,0.00,337.00
