DAY_OF_MONTH,DAY_OF_WEEK,ORIGIN_WAC,DEST_WAC,DEP_DELAY,DEP_DEL15,ARR_DEL15,DISTANCE
1,6,3,23,-14.00,0.00,0.00,1576.00
1,6,3,23,-8.00,0.00,0.00,1576.00
1,6,11,23,-11.00,0.00,0.00,157.00
1,6,11,23,-9.00,0.00,0.00,196.00
1,6,11,23,-6.00,0.00,0.00,196.00
1,6,11,23,-6.00,0.00,0.00,196.00
1,6,11,23,4.00,0.00,0.00,196.00
1,6,11,23,6.00,0.00,0.00,157.00
1,6,12,23,-15.00,0.00,0.00,473.00
1,6,12,23,-7.00,0.00,0.00,364.00
1,6,12,23,-6.00,0.00,0.00,364.00
1,6,12,23,-5.00,0.00,0.00,473.00
1,6,13,23,-11.00,0.00,0.00,280.00
1,6,13,23,-10.00,0.00,0.00,280.00
1,6,13,23,-9.00,0.00,0.00,280.00
1,6,13,23,-9.00,0.00,0.00,496.00
1,6,13,23,-9.00,0.00,0.00,496.00
1,6,13,23,-8.00,0.00,0.00,280.00
1,6,13,23,-8.00,0.00,0.00,280.00
1,6,13,23,-8.00,0.00,0.00,496.00
1,6,13,23,-8.00,0.00,0.00,496.00
1,6,13,23,-7.00,0.00,0.00,280.00
1,6,13,23,-6.00,0.00,0.00,280.00
1,6,13,23,-6.00,0.00,0.00,280.00
1,6,13,23,-6.00,0.00,0.00,280.00
1,6,13,23,-6.00,0.00,0.00,280.00
1,6,13,23,-6.00,0.00,0.00,496.00
1,6,13,23,-5.00,0.00,0.00,280.00
1,6,13,23,-5.00,0.00,0.00,280.00
1,6,13,23,-3.00,0.00,0.00,280.00
1,6,13,23,-2.00,0.00,0.00,496.00
1,6,13,23,25.00,1.00,1.00,280.00
1,6,13,23,64.00,1.00,1.00,280.00
1,6,14,23,-26.00,0.00,0.00,289.00
1,6,14,23,-16.00,0.00,0.00,289.00
1,6,14,23,-9.00,0.00,0.00,289.00
1,6,15,23,-9.00,0.00,0.00,237.00
1,6,15,23,-8.00,0.00,0.00,237.00
1,6,15,23,-7.00,0.00,0.00,237.00
1,6,15,23,-7.00,0.00,0.00,237.00
1,6,15,23,-6.00,0.00,0.00,237.00
1,6,16,23,-12.00,0.00,0.00,335.00
1,6,16,23,-9.00,0.00,0.00,335.00
1,6,16,23,-8.00,0.00,0.00,335.00
1,6,21,23,-16.00,0.00,0.00,319.00
1,6,21,23,-8.00,0.00,0.00,319.00
1,6,21,23,-6.00,0.00,0.00,319.00
1,6,21,23,-3.00,0.00,0.00,319.00
1,6,21,23,-1.00,0.00,0.00,319.00
1,6,21,23,6.00,0.00,0.00,319.00
