DAY_OF_MONTH,DAY_OF_WEEK,ORIGIN_WAC,DEST_WAC,DEP_DELAY,DEP_DEL15,ARR_DEL15,DISTANCE
1,2,3,23,-14.00,0.00,0.00,1576.00
1,2,3,23,-8.00,0.00,0.00,1576.00
1,2,3,23,-7.00,0.00,0.00,1576.00
1,2,3,23,-5.00,0.00,0.00,1576.00
1,2,3,23,-1.00,0.00,0.00,1576.00
1,2,3,23,6.00,0.00,0.00,1576.00
1,2,4,23,0.00,0.00,0.00,1605.00
1,2,11,23,-9.00,0.00,0.00,196.00
1,2,11,23,-5.00,0.00,0.00,196.00
1,2,12,23,,,,364.00
1,2,12,23,-12.00,0.00,0.00,473.00
1,2,12,23,-8.00,0.00,0.00,364.00
1,2,12,23,-8.00,0.00,1.00,473.00
1,2,13,23,-12.00,0.00,0.00,496.00
1,2,13,23,-9.00,0.00,0.00,280.00
1,2,13,23,-9.00,0.00,0.00,280.00
1,2,13,23,-9.00,0.00,0.00,280.00
1,2,13,23,-8.00,0.00,0.00,280.00
1,2,13,23,-8.00,0.00,0.00,280.00
1,2,13,23,-7.00,0.00,0.00,280.00
1,2,13,23,16.00,1.00,1.00,280.00
1,2,14,23,-9.00,0.00,0.00,289.00
1,2,14,23,-3.00,0.00,0.00,289.00
1,2,15,23,,,,237.00
1,2,15,23,-6.00,0.00,0.00,237.00
1,2,16,23,-11.00,0.00,0.00,335.00
1,2,16,23,-7.00,0.00,0.00,335.00
1,2,21,23,-9.00,0.00,0.00,319.00
1,2,21,23,-3.00,0.00,0.00,319.00
1,2,22,23,-11.00,0.00,0.00,335.00
1,2,22,23,-10.00,0.00,0.00,228.00
1,2,22,23,-6.00,0.00,1.00,279.00
1,2,22,23,0.00,0.00,0.00,335.00
1,2,22,23,154.00,1.00,1.00,279.00
1,2,22,23,226.00,1.00,1.00,212.00
1,2,23,3,-8.00,0.00,0.00,1576.00
1,2,23,3,-5.00,0.00,0.00,1576.00
1,2,23,3,-3.00,0.00,0.00,1576.00
1,2,23,3,-1.00,0.00,0.00,1576.00
1,2,23,3,43.00,1.00,1.00,1576.00
1,2,23,4,-14.00,0.00,0.00,1605.00
1,2,23,11,-7.00,0.00,0.00,196.00
1,2,23,11,-6.00,0.00,0.00,196.00
1,2,23,12,-10.00,0.00,0.00,473.00
1,2,23,12,-9.00,0.00,0.00,364.00
1,2,23,12,-8.00,0.00,0.00,473.00
1,2,23,12,-1.00,0.00,0.00,364.00
1,2,23,13,-21.00,0.00,0.00,496.00
1,2,23,13,-8.00,0.00,0.00,280.00
1,2,23,13,-7.00,0.00,0.00,280.00
1,2,23,13,-7.00,0.00,0.00,280.00
1,2,23,13,-7.00,0.00,0.00,280.00
1,2,23,13,-7.00,0.00,1.00,496.00
1,2,23,13,-6.00,0.00,0.00,280.00
