DAY_OF_MONTH,DAY_OF_WEEK,ORIGIN_WAC,DEST_WAC,DEP_DELAY,DEP_DEL15,ARR_DEL15,DISTANCE
1,5,3,23,-15.00,0.00,0.00,1576.00
1,5,3,23,-10.00,0.00,0.00,1576.00
1,5,3,23,-1.00,0.00,1.00,1576.00
1,5,3,23,49.00,1.00,1.00,1576.00
1,5,11,23,-2.00,0.00,0.00,196.00
1,5,12,23,-12.00,0.00,0.00,364.00
1,5,12,23,-10.00,0.00,0.00,364.00
1,5,13,23,-11.00,0.00,0.00,280.00
1,5,13,23,-10.00,0.00,0.00,280.00
1,5,13,23,-9.00,0.00,0.00,496.00
1,5,13,23,-8.00,0.00,0.00,280.00
1,5,13,23,-8.00,0.00,0.00,496.00
1,5,13,23,-8.00,0.00,1.00,280.00
1,5,13,23,-5.00,0.00,0.00,280.00
1,5,13,23,-5.00,0.00,0.00,280.00
1,5,13,23,-5.00,0.00,0.00,496.00
1,5,13,23,-3.00,0.00,0.00,280.00
1,5,13,23,-1.00,0.00,0.00,280.00
1,5,13,23,-1.00,0.00,0.00,496.00
1,5,13,23,0.00,0.00,0.00,280.00
1,5,13,23,9.00,0.00,0.00,280.00
1,5,13,23,26.00,1.00,1.00,280.00
1,5,13,23,51.00,1.00,1.00,280.00
1,5,14,23,-9.00,0.00,0.00,289.00
1,5,15,23,-11.00,0.00,0.00,237.00
1,5,16,23,-6.00,0.00,0.00,335.00
1,5,16,23,-3.00,0.00,0.00,335.00
1,5,21,23,-18.00,0.00,0.00,319.00
1,5,21,23,-10.00,0.00,0.00,319.00
1,5,21,23,-8.00,0.00,0.00,80.00
1,5,21,23,-8.00,0.00,0.00,141.00
1,5,21,23,-8.00,0.00,0.00,319.00
1,5,21,23,-7.00,0.00,0.00,319.00
1,5,21,23,-6.00,0.00,0.00,319.00
1,5,21,23,-6.00,0.00,0.00,319.00
1,5,21,23,-5.00,0.00,0.00,319.00
1,5,21,23,35.00,1.00,1.00,319.00
1,5,22,23,-12.00,0.00,0.00,335.00
1,5,22,23,-12.00,0.00,0.00,335.00
1,5,22,23,-11.00,0.00,0.00,335.00
1,5,22,23,-10.00,0.00,0.00,335.00
1,5,22,23,-10.00,0.00,0.00,335.00
1,5,22,23,-10.00,0.00,0.00,335.00
1,5,22,23,-9.00,0.00,0.00,96.00
1,5,22,23,-8.00,0.00,0.00,257.00
1,5,22,23,-8.00,0.00,0.00,279.00
1,5,22,23,-8.00,0.00,0.00,340.00
1,5,22,23,-7.00,0.00,0.00,96.00
1,5,22,23,-7.00,0.00,0.00,279.00
1,5,22,23,-7.00,0.00,1.00,279.00
1,5,22,23,-5.00,0.00,0.00,228.00
1,5,22,23,-4.00,0.00,0.00,335.00
1,5,22,23,-3.00,0.00,0.00,335.00
1,5,22,23,-1.00,0.00,0.00,340.00
1,5,22,23,0.00,0.00,0.00,340.00
1,5,22,23,3.00,0.00,0.00,335.00
1,5,22,23,5.00,0.00,0.00,340.00
1,5,22,23,16.00,1.00,0.00,340.00
1,5,23,3,-9.00,0.00,0.00,1576.00
1,5,23,3,11.00,0.00,0.00,1576.00
1,5,23,3,14.00,0.00,0.00,1576.00
1,5,23,3,70.00,1.00,1.00,1576.00
1,5,23,11,-10.00,0.00,0.00,196.00
1,5,23,12,-8.00,0.00,0.00,364.00
1,5,23,12,-6.00,0.00,0.00,364.00
1,5,23,13,-15.00,0.00,0.00,280.00
1,5,23,13,-13.00,0.00,0.00,496.00
1,5,23,13,-9.00,0.00,1.00,280.00
1,5,23,13,-7.00,0.00,0.00,280.00
1,5,23,13,-6.00,0.00,0.00,496.00
1,5,23,13,-6.00,0.00,1.00,280.00
1,5,23,13,-5.00,0.00,0.00,280.00
1,5,23,13,-5.00,0.00,0.00,280.00
1,5,23,13,-5.00,0.00,0.00,280.00
1,5,23,13,-5.00,0.00,0.00,496.00
1,5,23,13,-3.00,0.00,0.00,280.00
1,5,23,13,-3.00,0.00,0.00,280.00
1,5,23,13,-3.00,0.00,0.00,496.00
1,5,23,13,-2.00,0.00,0.00,280.00
1,5,23,13,-1.00,0.00,0.00,280.00
1,5,23,13,33.00,1.00,1.00,280.00
1,5,23,14,-10.00,0.00,0.00,289.00
1,5,23,15,-7.00,0.00,0.00,237.00
1,5,23,16,-9.00,0.00,0.00,335.00
1,5,23,16,-3.00,0.00,0.00,335.00
1,5,23,21,-10.00,0.00,0.00,319.00
1,5,23,21,-9.00,0.00,0.00,319.00
1,5,23,21,-9.00,0.00,0.00,319.00
1,5,23,21,-8.00,0.00,0.00,319.00
1,5,23,21,-7.00,0.00,0.00,319.00
1,5,23,21,-7.00,0.00,0.00,319.00
1,5,23,21,-5.00,0.00,0.00,319.00
1,5,23,21,-4.00,0.00,0.00,319.00
1,5,23,22,-12.00,0.00,0.00,279.00
1,5,23,22,-11.00,0.00,0.00,340.00
1,5,23,22,-10.00,0.00,0.00,340.00
1,5,23,22,-9.00,0.00,0.00,96.00
1,5,23,22,-8.00,0.00,0.00,228.00
1,5,23,22,-8.00,0.00,0.00,257.00
1,5,23,22,-8.00,0.00,0.00,335.00
1,5,23,22,-7.00,0.00,0.00,96.00
1,5,23,22,-7.00,0.00,0.00,279.00
1,5,23,22,-7.00,0.00,0.00,279.00
1,5,23,22,-6.00,0.00,0.00,335.00
1,5,23,22,-5.00,0.00,0.00,335.00
1,5,23,22,-5.00,0.00,0.00,335.00
1,5,23,22,-5.00,0.00,0.00,340.00
1,5,23,22,-4.00,0.00,0.00,335.00
1,5,23,22,-2.00,0.00,0.00,335.00
1,5,23,22,-2.00,0.00,0.00,335.00
1,5,23,22,-2.00,0.00,0.00,340.00
1,5,23,22,-2.00,0.00,0.00,340.00
1,5,23,22,1.00,0.00,0.00,335.00
1,5,23,22,22.00,1.00,0.00,335.00
1,5,23,23,-7.00,0.00,0.00,268.00
1,5,23,23,-7.00,0.00,0.00,268.00
1,5,23,23,-6.00,0.00,0.00,268.00
1,5,23,23,-5.00,0.00,0.00,268.00
1,5,23,23,-4.00,0.00,0.00,268.00
1,5,23,23,1.00,0.00,0.00,268.00
1,5,23,33,-11.00,0.00,0.00,912.00
1,5,23,33,-10.00,0.00,0.00,834.00
1,5,23,33,-10.00,0.00,0.00,914.00
1,5,23,33,-10.00,0.00,0.00,920.00
1,5,23,33,-10.00,0.00,0.00,920.00
1,5,23,33,-9.00,0.00,0.00,823.00
1,5,23,33,-9.00,0.00,0.00,920.00
1,5,23,33,-9.00,0.00,0.00,951.00
1,5,23,33,-8.00,0.00,0.00,861.00
1,5,23,33,-7.00,0.00,0.00,742.00
1,5,23,33,-7.00,0.00,0.00,742.00
1,5,23,33,-7.00,0.00,0.00,742.00
1,5,23,33,-7.00,0.00,0.00,834.00
1,5,23,33,-7.00,0.00,0.00,861.00
1,5,23,33,-7.00,0.00,0.00,861.00
1,5,23,33,-7.00,0.00,0.00,1013.00
1,5,23,33,-6.00,0.00,0.00,861.00
1,5,23,33,-6.00,0.00,0.00,861.00
1,5,23,33,-6.00,0.00,0.00,861.00
1,5,23,33,-6.00,0.00,0.00,873.00
