DAY_OF_MONTH,DAY_OF_WEEK,ORIGIN_WAC,DEST_WAC,DEP_DELAY,DEP_DEL15,ARR_DEL15,DISTANCE
1,3,3,23,-10.00,0.00,0.00,1576.00
1,3,3,23,-7.00,0.00,0.00,1576.00
1,3,3,23,-7.00,0.00,0.00,1576.00
1,3,3,23,2.00,0.00,0.00,1576.00
1,3,11,23,-4.00,0.00,0.00,196.00
1,3,11,23,-2.00,0.00,0.00,196.00
1,3,12,23,-4.00,0.00,0.00,364.00
1,3,12,23,574.00,1.00,1.00,364.00
1,3,13,23,-10.00,0.00,0.00,280.00
1,3,13,23,-10.00,0.00,0.00,280.00
1,3,13,23,-9.00,0.00,0.00,496.00
1,3,13,23,-8.00,0.00,0.00,280.00
1,3,13,23,-8.00,0.00,0.00,280.00
1,3,13,23,-8.00,0.00,0.00,280.00
1,3,13,23,-7.00,0.00,0.00,280.00
1,3,13,23,-7.00,0.00,0.00,496.00
1,3,13,23,-6.00,0.00,0.00,280.00
1,3,13,23,-5.00,0.00,0.00,280.00
1,3,13,23,-5.00,0.00,0.00,280.00
1,3,13,23,-5.00,0.00,0.00,280.00
1,3,13,23,-5.00,0.00,0.00,496.00
1,3,13,23,-4.00,0.00,0.00,280.00
1,3,13,23,-4.00,0.00,0.00,280.00
1,3,13,23,-4.00,0.00,0.00,496.00
1,3,13,23,-2.00,0.00,0.00,496.00
1,3,13,23,13.00,0.00,0.00,280.00
1,3,13,23,33.00,1.00,1.00,280.00
1,3,14,23,-11.00,0.00,0.00,289.00
1,3,15,23,-12.00,0.00,0.00,237.00
1,3,15,23,-8.00,0.00,0.00,237.00
1,3,15,23,-4.00,0.00,0.00,237.00
1,3,21,23,-15.00,0.00,0.00,319.00
1,3,21,23,-5.00,0.00,0.00,319.00
1,3,21,23,-3.00,0.00,0.00,319.00
1,3,21,23,0.00,0.00,0.00,319.00
1,3,22,23,-12.00,0.00,0.00,335.00
1,3,22,23,-12.00,0.00,0.00,340.00
1,3,22,23,-11.00,0.00,0.00,335.00
1,3,22,23,-10.00,0.00,0.00,94.00
1,3,22,23,-10.00,0.00,0.00,335.00
1,3,22,23,-10.00,0.00,0.00,335.00
1,3,22,23,-9.00,0.00,0.00,279.00
1,3,22,23,-9.00,0.00,0.00,335.00
1,3,22,23,-8.00,0.00,0.00,335.00
1,3,22,23,-8.00,0.00,0.00,335.00
1,3,22,23,-7.00,0.00,0.00,94.00
1,3,22,23,-7.00,0.00,0.00,335.00
1,3,22,23,-7.00,0.00,0.00,335.00
1,3,22,23,-6.00,0.00,0.00,94.00
1,3,22,23,-5.00,0.00,0.00,335.00
1,3,22,23,-5.00,0.00,0.00,335.00
1,3,22,23,-5.00,0.00,0.00,340.00
1,3,22,23,-4.00,0.00,0.00,335.00
1,3,22,23,-4.00,0.00,0.00,340.00
1,3,22,23,-3.00,0.00,0.00,340.00
1,3,22,23,-2.00,0.00,0.00,335.00
1,3,22,23,-2.00,0.00,0.00,340.00
1,3,22,23,-1.00,0.00,0.00,94.00
1,3,22,23,-1.00,0.00,0.00,340.00
1,3,22,23,-1.00,0.00,0.00,340.00
1,3,22,23,14.00,0.00,1.00,340.00
1,3,22,23,29.00,1.00,1.00,335.00
1,3,23,3,-8.00,0.00,0.00,1576.00
1,3,23,3,-6.00,0.00,0.00,1576.00
1,3,23,3,-5.00,0.00,0.00,1576.00
1,3,23,3,-2.00,0.00,0.00,1576.00
1,3,23,3,0.00,0.00,0.00,1576.00
1,3,23,11,-8.00,0.00,0.00,196.00
1,3,23,11,-5.00,0.00,0.00,196.00
1,3,23,12,-9.00,0.00,0.00,364.00
1,3,23,12,-6.00,0.00,0.00,364.00
1,3,23,13,-14.00,0.00,0.00,280.00
1,3,23,13,-12.00,0.00,0.00,280.00
1,3,23,13,-12.00,0.00,0.00,280.00
1,3,23,13,-12.00,0.00,0.00,496.00
1,3,23,13,-11.00,0.00,0.00,280.00
1,3,23,13,-10.00,0.00,0.00,280.00
1,3,23,13,-10.00,0.00,0.00,280.00
1,3,23,13,-10.00,0.00,0.00,496.00
1,3,23,13,-7.00,0.00,0.00,280.00
1,3,23,13,-7.00,0.00,0.00,496.00
1,3,23,13,-6.00,0.00,0.00,280.00
1,3,23,13,-6.00,0.00,0.00,280.00
1,3,23,13,-5.00,0.00,0.00,280.00
1,3,23,13,-5.00,0.00,0.00,496.00
1,3,23,13,-3.00,0.00,0.00,280.00
1,3,23,13,-3.00,0.00,0.00,280.00
1,3,23,13,-2.00,0.00,0.00,496.00
1,3,23,13,21.00,1.00,0.00,280.00
1,3,23,13,35.00,1.00,1.00,280.00
1,3,23,14,-7.00,0.00,0.00,289.00
1,3,23,15,-11.00,0.00,0.00,237.00
1,3,23,15,7.00,0.00,0.00,237.00
1,3,23,21,-11.00,0.00,0.00,319.00
1,3,23,21,-9.00,0.00,0.00,319.00
1,3,23,21,-3.00,0.00,0.00,319.00
1,3,23,21,-2.00,0.00,1.00,319.00
1,3,23,22,,,,279.00
1,3,23,22,-13.00,0.00,0.00,335.00
1,3,23,22,-13.00,0.00,0.00,335.00
1,3,23,22,-10.00,0.00,0.00,335.00
1,3,23,22,-10.00,0.00,0.00,335.00
1,3,23,22,-10.00,0.00,0.00,335.00
1,3,23,22,-10.00,0.00,0.00,335.00
1,3,23,22,-10.00,0.00,0.00,340.00
1,3,23,22,-10.00,0.00,0.00,340.00
1,3,23,22,-9.00,0.00,0.00,279.00
1,3,23,22,-8.00,0.00,0.00,335.00
1,3,23,22,-7.00,0.00,0.00,335.00
1,3,23,22,-7.00,0.00,0.00,340.00
1,3,23,22,-7.00,0.00,0.00,340.00
1,3,23,22,-6.00,0.00,0.00,94.00
1,3,23,22,-6.00,0.00,0.00,94.00
